ID Activo,Nombre del Activo,Descripción,Marca,Model,Cantidad,Sistema Operativo,Versión SO,Usuario Responsable,Equipo de Soporte,Ubicación,Servidor de Deployment,Fecha de Adquisición,Fecha de Última Actualización,Dirección MAC,Dirección IP,Nivel de Criticidad,Clasificación de Activo,Estado,Plan de Recuperación ante Desastres (DRP),Frecuencia de Monitoreo,Monitoreo de Seguridad,Auditoría de Acceso
TER-001,Terminal de Pago PAX A920 #1,Terminal de pago móvil con capacidad de NFC,PAX,A920,10,Android,PayDroid_8.1.0,Operador de Tienda,Equipo Soporte Comercio,Ubicación Central,No aplica,7/14/2021,2/11/2023,00:1B:44:11:3A:D1,192.168.1.100,Alta,Dispositivo de Pago,Operativo,Sí,Semestral,Monitoreo de pagos y transacciones,Auditoría de acceso mensual
TER-002,Terminal de Pago Ingenico iWL258,"Terminal de pago fija para mostrador, soporte de impresión",Ingenico,iWL258,15,Linux,IngenicoOS_3.1,Operador de Tienda,Equipo Soporte Comercio,Ubicación Norte,No aplica,7/14/2021,2/11/2023,00:1B:44:11:3A:D2,192.168.1.101,Alta,Dispositivo de Pago,Operativo,Sí,Semestral,Monitoreo de pagos y transacciones,Auditoría de acceso mensual
TER-003,Terminal de Pago Verifone VX680,"Terminal de pago portátil, conectividad Wi-Fi y 4G",Verifone,VX680,12,Propietario,N/A,Operador de Tienda,Equipo Soporte Comercio,Ubicación Sur,No aplica,7/14/2021,2/11/2023,00:1B:44:11:3A:D3,192.168.1.102,Alta,Dispositivo de Pago,Operativo,Sí,Semestral,Monitoreo de pagos y transacciones,Auditoría de acceso mensual
TER-004,Terminal de Pago PAX A920 #2,"Terminal de pago fija, con pantalla táctil y soporte de impresora",PAX,A920,8,Android,PayDroid_8.1.0,Operador de Tienda,Equipo Soporte Comercio,Ubicación Este,No aplica,7/14/2021,2/11/2023,00:1B:44:11:3A:D4,192.168.1.103,Alta,Dispositivo de Pago,Operativo,Sí,Semestral,Monitoreo de pagos y transacciones,Auditoría de acceso mensual
TER-005,Terminal de Pago Ingenico iWL250,Terminal de pago con lector de códigos QR integrado,Ingenico,iWL250,5,Linux,IngenicoOS_3.1,Operador de Tienda,Equipo Soporte Comercio,Ubicación Oeste,No aplica,7/14/2021,2/11/2023,00:1B:44:11:3A:D5,192.168.1.104,Alta,Dispositivo de Pago,Operativo,Sí,Semestral,Monitoreo de pagos y transacciones,Auditoría de acceso mensual
MON-001,Sistema de Monitoreo de Red,Herramienta para monitorear la red y detectar anomalías,Interno,Trust Monitor,1,Windows Server,2019,Departamento TI,Soporte TI On-Premise,Data Center Principal,No aplica,1/15/2022,NA,NA,NA,Alto,Crítico,Operativo,NA,Diario,Monitoreo en tiempo real de tráfico de red,Auditoría de acceso mensual
MON-002,Sistema de Monitoreo de Aplicaciones,Plataforma para monitorear el rendimiento de aplicaciones en tiempo real,Interno,Trust App Monitor,1,Ubuntu,20.04,Equipo DevOps,Equipo Soporte Nube,Data Center Principal,No aplica,2/20/2022,NA,NA,NA,Alto,Crítico,Operativo,NA,Diario,Monitoreo del rendimiento de aplicaciones,Auditoría de acceso mensual
BAC-001,Sistema de Copia de Seguridad,Sistema para realizar copias de seguridad de datos críticos.,Interno,Trust Backup System,1,Windows Server,2019,Departamento TI,Soporte TI On-Premise,Data Center Principal,No aplica,3/5/2022,NA,NA,NA,Alto,Crítico,Operativo,NA,Diario,Sin actualizaciones,Auditoría de acceso mensual
IAM-001,Sistema IAM,Herramienta para gestionar usuarios y permisos.,Interno,Trust IAM System,1,Linux,20.04,Equipo de Seguridad,Equipo Seguridad,Data Center Principal,No aplica,4/10/2022,NA,NA,NA,Alto,Crítico,Operativo,NA,Diario,Sin actualizaciones,Auditoría de acceso mensual
EDR-001,Sistema EDR,Herramienta para detección de amenazas y respuesta en endpoints.,Palo Alto Networks,Cortex XDR,1,Windows,10,Departamento de Seguridad,Equipo Seguridad,Data Center Principal,No aplica,5/15/2022,NA,NA,NA,Alto,Crítico,Operativo,NA,Diario,Actualizaciones de seguridad,Auditoría de acceso mensual
SEC-001,Sistema de Videovigilancia,Sistema de cámaras para monitorear las instalaciones.,Hikvision,DS-2CD2143G0-I,20,N/A,NA,Departamento de Seguridad,Equipo Seguridad,Oficina Principal,No aplica,6/20/2022,NA,NA,NA,Medio,No Crítico,Operativo,NA,Diario,Sin actualizaciones,Auditoría de acceso mensual
SRV-004,Servidor de Aplicaciones,Servidor para ejecutar aplicaciones empresariales.,Dell,PowerEdge R640,2,Windows Server,2019,Equipo DevOps,Soporte TI On-Premise,Data Center Principal,No aplica,7/25/2022,NA,NA,NA,Alto,Crítico,Operativo,NA,Diario,Actualizaciones de seguridad,Auditoría de acceso mensual
